,number,name,bid,city_or_mun,language,mun_center,province,subregion
230,702,Ruovesi,0152842-1,kunta,suomi,Ruoveden kirkonkylä,Pirkanmaa,Ylä-Pirkanmaan seutukunta
231,704,Rusko,0204524-5,kunta,suomi,Ruskon kirkonkylä,Varsinais-Suomi,Turun seutukunta
232,707,Rääkkylä,0169967-7,kunta,suomi,Rääkkylän kirkonkylä,Pohjois-Karjala,Keski-Karjalan seutukunta
233,729,Saarijärvi,0176975-1,kaupunki,suomi,Saarijärven keskustaajama,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
234,732,Salla,0192936-4,kunta,suomi,Sallan kirkonkylä,Lappi,Itä-Lapin seutukunta
235,734,Salo,0139991-4,kaupunki,suomi,Salon keskustaajama,Varsinais-Suomi,Salon seutukunta
236,736,Saltvik,0205119-4,kunta,ruotsi,Nääs,Ahvenanmaa,Ålands landsbygd
237,790,Sastamala,0144411-3,kaupunki,suomi,Vammalan keskustaajama,Pirkanmaa,Lounais-Pirkanmaan seutukunta
238,738,Sauvo,9038213-6,kunta,suomi,Sauvon kirkonkylä,Varsinais-Suomi,Turun seutukunta
239,739,Savitaipale,0163109-0,kunta,suomi,Savitaipaleen kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta
240,740,Savonlinna,0166906-4,kaupunki,suomi,Savonlinnan keskustaajama,Etelä-Savo,Savonlinnan seutukunta
241,742,Savukoski,0210704-7,kunta,suomi,Savukosken kirkonkylä,Lappi,Itä-Lapin seutukunta
242,743,Seinäjoki,0210704-7,kaupunki,suomi,Seinäjoen keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta
243,746,Sievi,0189615-2,kunta,suomi,Sievin kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta
244,747,Siikainen,0139842-8,kunta,suomi,Siikaisten kirkonkylä,Satakunta,Pohjois-Satakunnan seutukunta
245,748,Siikajoki,2047359-3,kunta,suomi,Ruukki,Pohjois-Pohjanmaa,Raahen seutukunta
246,791,Siikalatva,0189019-9,kunta,suomi,Pulkkilan kirkonkylä,Pohjois-Pohjanmaa,Haapaveden-Siikalatvan seutukunta
247,749,Siilinjärvi,0172718-0,kunta,suomi,Siilinjärven kirkonkylä,Pohjois-Savo,Kuopion seutukunta
248,751,Simo,0193015-4,kunta,suomi,Simon asemanseutu,Lappi,Kemi–Tornion seutukunta
249,753,Sipoo,0193015-4,kunta,"suomi, ruotsi",Nikkilä,Uusimaa,Helsingin seutukunta
250,755,Siuntio,0131156-4,kunta,"suomi, ruotsi",Siuntion asemanseutu,Uusimaa,Helsingin seutukunta
251,758,Sodankylä,0193169-1,kunta,"suomi, pohjoissaame",Sodankylän kirkonkylä,Lappi,Pohjois-Lapin seutukunta
252,759,Soini,0182637-3,kunta,suomi,Soinin kirkonkylä,Etelä-Pohjanmaa,Kuusiokuntien seutukunta
253,761,Somero,0153082-0,kaupunki,suomi,Someron keskustaajama,Varsinais-Suomi,Salon seutukunta
254,762,Sonkajärvi,9090160-2,kunta,suomi,Sonkajärven kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta
255,765,Sotkamo,0189766-5,kunta,suomi,Sotkamon kirkonkylä,Kainuu,Kajaanin seutukunta
256,766,Sottunga,0205121-5,kunta,ruotsi,Sottunga,Ahvenanmaa,Ålands skärgård
257,768,Sulkava,0167265-0,kunta,suomi,Sulkavan kirkonkylä,Etelä-Savo,Savonlinnan seutukunta
258,771,Sund,0205125-8,kunta,ruotsi,Björby,Ahvenanmaa,Ålands landsbygd
259,777,Suomussalmi,0189925-7,kunta,suomi,Ämmänsaari,Kainuu,Kehys-Kainuun seutukunta
260,778,Suonenjoki,0208061-4,kaupunki,suomi,Suonenjoen keskustaajama,Pohjois-Savo,Sisä-Savon seutukunta
261,781,Sysmä,0167352-2,kunta,suomi,Sysmän kirkonkylä,Päijät-Häme,Lahden seutukunta
262,783,Säkylä,0139937-5,kunta,suomi,Säkylän kirkonkylä,Satakunta,Rauman seutukunta
263,831,Taipalsaari,0163320-5,kunta,suomi,Taipalsaaren kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta
264,832,Taivalkoski,0190100-3,kunta,suomi,Taivalkosken kirkonkylä,Pohjois-Pohjanmaa,Koillismaan seutukunta
265,833,Taivassalo,0139991-4,kunta,suomi,Taivassalon kirkonkylä,Varsinais-Suomi,Vakka-Suomen seutukunta
266,834,Tammela,0153179-4,kunta,suomi,Tammelan kirkonkylä,Kanta-Häme,Forssan seutukunta
267,837,Tampere,0211675-2,kaupunki,suomi,Tampereen keskustaajama,Pirkanmaa,Tampereen seutukunta
268,844,Tervo,0173081-4,kunta,suomi,Tervon kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta
269,845,Tervola,0193249-1,kunta,suomi,Tervolan kirkonkylä,Lappi,Kemi–Tornion seutukunta
270,846,Teuva,0182734-1,kunta,suomi,Teuvan kirkonkylä,Etelä-Pohjanmaa,Suupohjan seutukunta
271,848,Tohmajärvi,1919717-3,kunta,suomi,Kemie,Pohjois-Karjala,Keski-Karjalan seutukunta
272,849,Toholampi,0182779-8,kunta,suomi,Toholammin kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta
273,850,Toivakka,0177201-0,kunta,suomi,Toivakan kirkonkylä,Keski-Suomi,Jyväskylän seutukunta
274,851,Tornio,0193524-6,kaupunki,suomi,Tornion keskustaajama,Lappi,Kemi–Tornion seutukunta
275,853,Turku,9038213-6,kaupunki,"suomi, ruotsi",Turun keskustaajama,Varsinais-Suomi,Turun seutukunta
276,857,Tuusniemi,0173128-6,kunta,suomi,Tuusniemen kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta
277,858,Tuusula,0131661-3,kunta,suomi,Hyrylä,Uusimaa,Helsingin seutukunta
278,859,Tyrnävä,0190140-9,kunta,suomi,Tyrnävän kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta
279,886,Ulvila,0204910-7,kaupunki,suomi,Vanhakylä,Satakunta,Porin seutukunta
280,887,Urjala,0157323-0,kunta,suomi,Urjalan kirkonkylä,Pirkanmaa,Etelä-Pirkanmaan seutukunta
281,889,Utajärvi,0190224-1,kunta,suomi,Utajärven kirkonkylä,Pohjois-Pohjanmaa,Oulunkaaren seutukunta
282,890,Utsjoki,9129466-4,kunta,"suomi, pohjoissaame",Utsjoen kirkonkylä,Lappi,Pohjois-Lapin seutukunta
283,892,Uurainen,0177224-8,kunta,suomi,Uuraisten kirkonkylä,Keski-Suomi,Jyväskylän seutukunta
284,893,Uusikaarlepyy,0183077-8,kaupunki,"ruotsi, suomi",Uudenkaarlepyyn keskustaajama,Pohjanmaa,Jakobstadsregionen
285,895,Uusikaupunki,0144036-6,kaupunki,suomi,Uudenkaupungin keskustaajama,Varsinais-Suomi,Vakka-Suomen seutukunta
286,785,Vaala,0190027-0,kunta,suomi,Vaalan kirkonkylä,Pohjois-Pohjanmaa,Oulunkaaren seutukunta
287,905,Vaasa,0190027-0,kaupunki,"suomi, ruotsi",Vaasan keskustaajama,Pohjanmaa,Vaasan seutukunta
288,908,Valkeakoski,0157568-2,kaupunki,suomi,Valkeakosken keskustaajama,Pirkanmaa,Etelä-Pirkanmaan seutukunta
289,092,Vantaa,0124610-9,kaupunki,"suomi, ruotsi",Tikkurila,Uusimaa,Helsingin seutukunta
290,915,Varkaus,0173416-1,kaupunki,suomi,Varkauden keskustaajama,Pohjois-Savo,Varkauden seutukunta
291,918,Vehmaa,0144561-8,kunta,suomi,Vinkkilä,Varsinais-Suomi,Vakka-Suomen seutukunta
292,921,Vesanto,0173787-2,kunta,suomi,Vesannon kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta
293,922,Vesilahti,0157711-9,kunta,suomi,Vesilahden kirkonkylä,Pirkanmaa,Tampereen seutukunta
294,924,Veteli,0184278-7,kunta,suomi,Kainu,Keski-Pohjanmaa,Kaustisen seutukunta
295,925,Vieremä,0173835-7,kunta,suomi,Vieremän kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta
296,927,Vihti,0131905-6,kunta,suomi,Nummela,Uusimaa,Helsingin seutukunta
297,931,Viitasaari,0208573-0,kaupunki,suomi,Viitasaaren keskustaajama,Keski-Suomi,Saarijärven–Viitasaaren seutukunta
298,934,Vimpeli,0184318-1,kunta,suomi,Vimpelin kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta
299,935,Virolahti,0207033-6,kunta,suomi,Virojoki,Kymenlaakso,Kotka–Haminan seutukunta
300,936,Virrat,0206333-9,kaupunki,suomi,Virtain keskustaajama,Pirkanmaa,Ylä-Pirkanmaan seutukunta
301,941,Vårdö,0205126-6,kunta,ruotsi,Vårdö,Ahvenanmaa,Ålands skärgård
302,946,Vöyri,2050514-5,kunta,"ruotsi, suomi",Vöyrin kirkonkylä,Pohjanmaa,Vaasan seutukunta
303,976,Ylitornio,0210826-9,kunta,suomi,Ylitornion kirkonkylä,Lappi,Torniolaakson seutukunta
304,977,Ylivieska,0190557-3,kaupunki,suomi,Ylivieskan keskustaajama,Pohjois-Pohjanmaa,Ylivieskan seutukunta
305,980,Ylöjärvi,0158221-7,kaupunki,suomi,Ylöjärven kirkonkylä,Pirkanmaa,Tampereen seutukunta
306,981,Ypäjä,0158301-7,kunta,suomi,Ypäjän kirkonkylä,Kanta-Häme,Forssan seutukunta
307,989,Ähtäri,0184622-7,kaupunki,suomi,Ähtärin keskustaajama,Etelä-Pohjanmaa,Kuusiokuntien seutukunta
308,992,Äänekoski,2045520-5,kaupunki,suomi,Äänekosken keskustaajama,Keski-Suomi,Äänekosken seutukunta
