,label,code,entity
114,4712 Kotihoidon tuki,4780660,KKNR
115,4713 Kotihoidon tuen kuntalisä,4782930,KKNR
116,4714 Yksityisen hoidon tuki,4785200,KKNR
117,4715 Yksityisen hoidon tuen kuntalisä,4787470,KKNR
118,4716 Osittainen hoitoraha,4789740,KKNR
119,4717 Joustava hoitoraha,4792010,KKNR
120,4721 Täydentävä toimeentulotuki,4757960,KKNR
121,4722 Ehkäisevä toimeentulotuki,4760230,KKNR
122,4723 Täydentävän ja ehkäisevän toimeentulotuen takaisinperintä,4744340,KKNR
123,4739 Muut avustukset kotitalouksille,4651270,KKNR
124,4742 Avustukset yhteisöille,4653540,KKNR
125,4800-4995 Muut toimintakulut,4855570,KKNR
126,4800-4899 Vuokrakulut,4739800,KKNR
127,4810 Maa- ja vesialueiden vuokrakulut,4614950,KKNR
128,4820 Rakennusten ja huoneistojen vuokrat,4655810,KKNR
129,4830 Koneiden ja laitteiden vuokrat,4658080,KKNR
130,4890 Muut vuokrat,4660350,KKNR
131,4899 Aktivoidut vuokrakulut,4794280,KKNR
132,4900-4995 Muut kulut,4742070,KKNR
133,4901 Jätevero,4442430,KKNR
134,4910 Muut välilliset ja välittömät verot,4444700,KKNR
135,4920 Pysyvien vastaavien hyödykkeiden luovutustappiot,4446970,KKNR
136,4921 Luottotappiot toimintatuotoista (myyntisaamiset),4483290,KKNR
137,4930 Takaustappiot,4485560,KKNR
138,4931 Takauskorvausten takaisinperinnät,4487830,KKNR
139,"4940 Muut toimintakulut, erittelemättömät",4490100,KKNR
140,4990 Aktivoidut muut kulut,4492370,KKNR
141,5000-5499 Verotulot,4857840,KKNR
142,5000 Kunnan tulovero,4860110,KKNR
143,5100 Kiinteistövero,4494640,KKNR
144,5200 Osuus yhteisöveron tuotosta,4864650,KKNR
145,5400 Muut verotulot,4866920,KKNR
146,5500-5899 Valtionosuudet,4869190,KKNR
147,5501-5503 Kunnan peruspalvelujen valtionosuus,4496910,KKNR
148,5501 Kunnan peruspalvelujen valtionosuus (ilman tasauksia),4499180,KKNR
149,5502 Verotuloihin perustuva valtionosuuksien tasaus,4501450,KKNR
150,5503 Järjestelmämuutoksen tasaus,4505990,KKNR
151,5700-5899 Muut valtionosuudet,4508260,KKNR
