,suppl_id,suppl_number,suppl_name
1304,2171155-7,,OULUN MITTAUS- JA KORJAUSPALVE
1476,0948097-9,,SÄÄVÄLÄT OY LASKUKASSA OY
1480,1515901-4,,SANOMA NEWS OY
1536,0196634-1,,TRIMBLE SOLUTIONS OY
1548,2022297,,SUOMEN MUUSIKKOJEN LIITTO RY
1563,Puuttuu,,INTERNATIONAL BACCALAUREATE OR
1565,Puuttuu,,FC RIPPEET RY/ILSO IKÄMIEHET
1566,Anonymisoitu,,Anonymisoitu
1602,0243003-9,,MLL Pohjois-Pohjanmaan Piiri
1691,1751415-5,,TALENTUM MEDIA OY
1695,0115761-6,,VEHO GROUP OY AB
1818,2557856-2,,WIHURI OY AARNIO
1838,1475607-9,,TELIASONERA FINLAND OYJ
1865,0187395-4,,OULUN KORU OY
1898,1765514-2,,NCC SUOMI OY
1916,0673018-6,,FYSIOPUDAS
1972,2485076-3,,SLP GROUP OSK
1988,Puuttuu,,HEALTHCARE INFORMATION & MANAG
2019,2080002-1,,OULUN ENERGIA SIIRTO JA JAKELU
2077,2043575-7,,STARK/ DT FINLAND OY
2142,0210207-8,,OULUN TARMO RY MINIGOLF
2145,1061512-1,,PORVOON KAUPUNKI
2171,2362848-2,,WESTLOG OY / TENA-KAUPPA
2328,1445974-4,,YRITETÄÄN YHDESSÄ RY
2329,0907890-4,,SODEXO OY
2364,Puuttuu,,HELSINGIN KAUPUNKI SOSIAALI- J
2420,0179285-5,,POHJOLAN TURISTIAUTO OY KAINUU
2484,0873987-0,,OULUN MAA- JA VESIRAKENNUS OY
2595,Puuttuu,,OULUN KUNTA-ALAN YHTEISJÄRJEST
2597,2427734-6,,DELIAN OY
2607,1854419-6,,KOSONEN PÄIVI FYSIOTERAPEUTTI
2637,Puuttuu,,MAALAUS & TAPETOINTI VILMA
2731,1996303-4,,PJ-TEKNIIKKA OY
2748,2550899-4,,EUPHORIA TRAINING
2756,0286344-0,,EPICOS FYSIKAALINEN HOITOLAITO
2766,2365190-6,,GO ARCTIC OY
2871,1580862-7,,OULUN ASIOINTIPALVELU
2878,1514010-2,,HAANPAA OY
2886,2671232-1,,SCANLAB OY
2979,0179285-5,,POHJOLAN TURISTIAUTO OY
3047,0201472-1,,HENGITYSLIITTO RY / LUOVI AMMA
3110,1031715-9,,TRAFI/AJONEUVOVERO
3129,2083833-7,,PRO PELLET OY
3585,1515901-4,,SANOMA MEDIA FINLAND OY
3655,0222382-2,,POHJOIS-POHJANMAAN KESÄYLIOPIS
3668,Anonymisoitu,500395,Anonymisoitu
3680,Anonymisoitu,500369,Anonymisoitu
3691,Puuttuu,,THOMANN GMBH
3697,0116988-7,,SPR VERIPALVELU
3725,Puuttuu,,SINU REISIBUROO AB MATKAPUNKT
3730,2749558-4,112102,OULUN VUOKRATILAT OY
3731,2746622-2,112362,NEW HOUSE INNOVATION OY
3733,Anonymisoitu,500372,Anonymisoitu
3741,1523846-8,102144,GIGANTTI OY
3742,Anonymisoitu,500388,Anonymisoitu
3743,Puuttuu,,COMPASS FAIRS AS
3744,Anonymisoitu,500390,Anonymisoitu
3745,Puuttuu,,EJAZZLINES
3747,0187614-3,,OSUUSKAUPPA ARINA/
3750,Puuttuu,,DELIAN OY
3763,Puuttuu,,PRIMOZONE
3765,0195048-9,,OULUN NMKY RY
3775,1546343-8,102175,LEKOLAR-PRINTEL OY
3791,0195048-9,,"OULUN NMKY, TERWAMARATON"
3796,Puuttuu,,ARENA INTERNATIONAL EVENTS GRO
3814,1936544-8,,PUOLIVÄLINKANKAAN SUURALUEEN
3825,0356329-8,,RAHMQVIST DELECTUM OY  ER FINL
3831,0187706-6,,OULUN LUISTINSEURA RY
3834,Anonymisoitu,500392,Anonymisoitu
3841,Puuttuu,,OULU BLUE CATS RY
3849,Puuttuu,,HÖYHTYÄN SAMMONTAKOJAT RY
3851,1895996-5,,PÄIVÄKOTI TIPITII OY
3866,0576687-3,100727,ANTTILA OY
3876,Puuttuu,,LÄNSSTYRELSEN I NORRBOTTENS LÄ
3882,Anonymisoitu,500393,Anonymisoitu
3909,Anonymisoitu,500391,Anonymisoitu
3922,Anonymisoitu,500371,Anonymisoitu
3923,Anonymisoitu,500397,Anonymisoitu
3929,,,
3950,2017532-6,,ESPERI CARE OY
3953,0209814-4,,HAUKIPUTAAN HEITTO RY
3955,Puuttuu,,OULUN YLIOPISTON TUKISÄÄTIÖ
3964,Puuttuu,,SOVEREIGN CAPITAL HOLDINGS INC
3989,24324843,,JK AJONEUVOLASITUS
4054,Puuttuu,,"OKF OULUN KAIJON FIKSUT, VÄINÄ"
4062,Puuttuu,,POSTI OY
4063,2265415-2,,PERUSPALVELUKUNTAYHTYMÄ SELÄNN
4064,0245963-2,,OULUN SEUDUN ULOSOTTOVIRASTO
4068,Anonymisoitu,500396,Anonymisoitu
4069,1050191-7,,POHJOIS-POHJANMAAN LIIKUNTA RY
4096,Anonymisoitu,500394,Anonymisoitu
4105,2746622-2,,NEW HOUSE INNOVATION OY
4106,2205905-4,,TRUST PERINTÄ
4110,0911917-1,101301,KESPRO OY
4122,2605212-4,,TUIRAN FYSIO OY
4127,2749558-4,,OULUN VUOKRATILAT OY
4128,Puuttuu,,TICKET B ARCHITEKTUR ERLEBEN G
4129,Anonymisoitu,500389,Anonymisoitu
4165,Puuttuu,,VEJLE KOMMUNE
4168,Anonymisoitu,500370,Anonymisoitu
4175,0873697-9,,FAZER FOOD SERVICES OY
4222,Puuttuu,,GRAND HOTEL SALERNO
4232,Puuttuu,,TILAA KULTTUURILLE RY
4242,2637990-1,,PARK BUFFET OY
4272,Puuttuu,,AHONTIEN YKSITYISTIEKUNTA/PELT
4290,Puuttuu,,POHJOIS-POHJANMAAN NUORISOSEUR
4299,Puuttuu,,HIRVONEN OY
4301,Puuttuu,,RÖSSYPOTTUSEURA
4307,1876901,,OULUN KAUPUNKI/YHDYSKUNTA- JA
4318,1057647-6,,SMARTUM OY
4319,0195048-9,,OULUN NMKY RY POIKAKUORO
4327,2131794-2,,ALUSASUJEN ERIKOISLIIKE CHIC
4360,Puuttuu,,OULUN KILPA-VELJET RY
4377,Puuttuu,,SIIRTOLAN YKSITYISTIEN HOITOKU
4382,556737-0431,,SEGORIA/NORDEA FINANS SVERIGE
4392,1895996-5,102726,PÄIVÄKOTI TIPITII OY
4411,0116510-6,,ELISA OYJ
4512,2054621-1,,"IIN KUNTA, IIN KANSALAISOPISTO"
4513,Anonymisoitu,500416,Anonymisoitu
4515,Puuttuu,,PORTE PAR LE VENT
4520,Anonymisoitu,500405,Anonymisoitu
4609,Anonymisoitu,500408,Anonymisoitu
4637,2158463-1,,ARKKITEHTITOIMISTO KARSIKAS OY
