,suppl_id,suppl_number,suppl_name
11843,2077956-8,,RAMIRENT FINLAND OYJ
12329,Puuttuu,,NOKIAN KAUPUNKI
12515,0116660-0,,LASTENSUOJELUN KESKUSLIITTO RY
12565,1024775-2,,INNOFIS TOIMISTOPALVELUT OY
12736,1983078-4,,AUTTAVA JOVICARE
12749,0124610-9,,VANTAAN TYÖTERVEYS LIIKELAITOS
12894,1792758-2,,RYHMÄKOTI TUPOSVILLA OY
12904,2057294-6,,KIINTEISTÖHUOLTO JURVELIN OY
13082,Puuttuu,,ETELÄ-POHJANMAAN ULOSOTTOVIRAS
13121,1024775-2,,VARIAINE.FI VERKKOKAUPPA/INNOV
13148,1263444-9,,KEROLA TOIVO ILMARI
13264,2302414-4,,LÄNSI-POHJAN ULOSOTTOVIRASTO
13271,Puuttuu,,KANTA-HÄMEEN ULOSOTTOVIRASTO
13273,Puuttuu,,ITÄ- JA KESKI-UUDENMAAN ULOSOT
13309,Puuttuu,,ATAPOC RY
13310,1048342-1,,AALTORAVINTOLA OY
13312,0186550-8,,SUOMEN VALTIO / VUORELAN
13554,Puuttuu,,BODYTECH BKT AB
13577,0989376-5,,OULUN ENERGIA OY KAUKOLÄMPÖ
13587,1765514-2,,NCC RAKENNUS OY POHJOIS-SUOMI
13660,2584136-7FI,,RAKENNUTTAJATOIMISTO PROMEN OY
14486,Puuttuu,,SANA ST
14667,1495237-9,,YLIKIIMINGIN OMAISHOITAJAT RY
14703,Puuttuu,,ATLAS - OULUN YLIOPISTON MAANT
15042,2169970-3,,SUOMEN TEATTERIRAVINTOLAT OY
15256,0222382-2,,POHJOIS-POHJANMAAN KESÄY.SEURA
15260,1567535-0,,HELSINGIN JA UUDENMAAN SHP
15282,0366233-3,,ELINTARVIKE JA TERVEYS
15648,2468273-9,,TARRASERIF OY/HAUKIPUDAS
15882,23924003,,SUKUPUUN TARINA
16035,Puuttuu,,HAUKIPUTAAN JOKIKYLÄN KOULUTIE
16048,Puuttuu,,TRANÅSLIST AB
16065,Puuttuu,,PUDASJÄRVEN VAPAAEHTOINEN PALO
16601,2671232-1,,OULUN KAUPUNGIN ELINTARVIKE
17943,0245872-8,,KOTIMAISTEN KIELTEN KESKUS
18168,Puuttuu,,OULUNSALON PALOMIESYHDISTYS RY
18172,Puuttuu,,MIKI KURODA
18391,0215606-8,,PÄIJÄT-HÄMEEN SOSIAALI-KA TERV
18518,Puuttuu,,LAHDEN KAUPUNKI
18587,Puuttuu,,SLÖJD-DETALJER
19036,Puuttuu,,KINNULAN KUNTA
19513,2302414-4,,ETELÄ-KARJALAN ULOSOTTOVIRASTO
19625,Puuttuu,,KESKI-POHJANMAAN ULOSOTTOVIRAS
19628,2302414-4,,ETELÄ-SAVON ULOSOTTOVIRASTO
19629,0986674-0,,KYMENLAAKSON ULOSOTTOVIRASTO
19673,Puuttuu,,UROS S.á.r.l
19793,0576797-2,,OULUN VESI-PISTE
19882,0190785-7,,INARIN KUNTA
19890,Puuttuu,,KANSANELÄKELAITOS LASTENHOIDON
19903,0398964--3,,VITABALANS OY
