,Toslaji ,Tili,Tilin nimi,Kp,KP:n nimi,Tositepvm,Tositenumero,Tot eurot,Toimittajan nimi, Toimittaja Y-tun/sotu,Docid
0,OR1,4301,Asiakaspalvelujen ostot valtio,4305,Perusopetuksen yhteistoiminnot,2018-08-31 00:00:00,20221425,996,THL TERVEYDEN JA HYVINVOINNIN LAITO,0986674-0,392624
1,OR1,4305,Asiakaspalvelujen ostot kunnil,1154,Alueelliset hankkeet,2018-08-20 00:00:00,20219734,100,URJALAN KUNTA,0157323-0,387638
2,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219290,62.32,OULUN KAUPUNKI/SOTE,0187690-1,383354
3,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219314,140.95,ESPOON KAUPUNKI,0101263-6,386530
4,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219338,28.5,NOKIAN KAUPUNKI,0205717-4,387036
5,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219341,701.15,PIRKKALAN KUNTA,0152084-1,387040
6,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219446,272.64,KANGASALAN KAUPUNKI,1923299-5,387474
7,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-01 00:00:00,20219575,837,KEMIJÄRVEN KAUPUNKI,0191717-9,386282
8,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-02 00:00:00,20217985,21.4,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,383963
9,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-07 00:00:00,20218207,109.45,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,385311
10,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-16 00:00:00,20219587,117.03,AKAAN KAUPUNKI,2050864-5,387046
11,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-20 00:00:00,20219609,150,JÄMSÄN KAUPUNKI,0175622-1,387611
12,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-21 00:00:00,20219626,336,JANAKKALAN KUNTA,0147510-4,387852
13,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-24 00:00:00,20219711,350,JANAKKALAN KUNTA,0147510-4,388436
14,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-24 00:00:00,20219885,792,KINNULAN KUNTA,0242816-6,388560
15,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-24 00:00:00,20220157,496.29,INKOON KUNTA,0126293-4,388561
16,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-27 00:00:00,20219726,459,VIRTAIN KAUPUNKI,0206333-9,388685
17,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-27 00:00:00,20219727,199,SALON KAUPUNKI,0139533-1,388687
18,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-27 00:00:00,20220159,136.53,AKAAN KAUPUNKI,2050864-5,388661
19,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-28 00:00:00,20220020,107.56,MIEHIKKÄLÄN KUNTA,0162675-0,388845
20,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-28 00:00:00,20220023,207.88,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,388877
21,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-28 00:00:00,20220025,510,VIRTAIN KAUPUNKI,0206333-9,388910
22,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-30 00:00:00,20220034,145,KUUSAMON KAUPUNKI TERVEYSKESKU,0186418-5,389388
23,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-30 00:00:00,20220172,85.5,KANGASALAN KAUPUNKI,1923299-5,389414
24,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20220387,144.5,KERAVAN KAUPUNKI,0127485-5,390241
25,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20220536,149.09,TAMPEREEN KAUPUNKI,0211675-2,389583
26,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221032,244.14,KANGASALAN KAUPUNKI,1923299-5,391344
27,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221505,66.99,PORVOON KAUPUNKI,1061512-1,389798
28,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221534,52.8,HYVINKÄÄN KAUPUNKI,0125866-0,392906
29,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221542,607.92,PARKANON KAUPUNKI,0136311-0,392932
30,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221573,167,HAMINAN KAUPUNKI,0242496-6,393411
31,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221932,119.4,AKAAN KAUPUNKI,2050864-5,393115
32,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221948,264.3,LEMPÄÄLÄN KUNTA,0150783-1,393696
33,OR1,4305,Asiakaspalvelujen ostot kunnil,3015,Avosairaanhoito,2018-08-31 00:00:00,20221970,213.36,KANGASALAN KAUPUNKI,1923299-5,393905
34,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-03 00:00:00,20218433,95.32,LEMPÄÄLÄN KUNTA,0150783-1,384364
35,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-08 00:00:00,20218530,139,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,385521
36,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-27 00:00:00,20220162,104.7,KOUVOLAN KAUPUNKI,0161075-9,388755
37,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-31 00:00:00,20220625,236.84,SASTAMALAN KAUPUNKI,0144411-3,390485
38,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-31 00:00:00,20220734,137.5,KANGASALAN KAUPUNKI,1923299-5,391031
39,OR1,4305,Asiakaspalvelujen ostot kunnil,3055,Hammashuolto,2018-08-31 00:00:00,20221982,183.46,AKAAN KAUPUNKI,2050864-5,392212
40,OR1,4305,Asiakaspalvelujen ostot kunnil,3267,Lastensuojelu2017-,2018-08-20 00:00:00,20219614,20202.04,TAMPEREEN KAUPUNKI,0211675-2,387646
41,OR1,4305,Asiakaspalvelujen ostot kunnil,3267,Lastensuojelu2017-,2018-08-20 00:00:00,20219615,41730.3,TAMPEREEN KAUPUNKI,0211675-2,387647
42,OR1,4305,Asiakaspalvelujen ostot kunnil,3267,Lastensuojelu2017-,2018-08-22 00:00:00,20219637,10479.3,YLÖJÄRVEN KAUPUNKI,0158221-7,388004
43,OR1,4305,Asiakaspalvelujen ostot kunnil,3267,Lastensuojelu2017-,2018-08-22 00:00:00,20219638,10828.61,YLÖJÄRVEN KAUPUNKI,0158221-7,388005
44,OR1,4305,Asiakaspalvelujen ostot kunnil,3267,Lastensuojelu2017-,2018-08-31 00:00:00,20221848,16482.58,KANGASALAN KAUPUNKI,1923299-5,391753
45,OR1,4305,Asiakaspalvelujen ostot kunnil,3267,Lastensuojelu2017-,2018-08-31 00:00:00,20221923,888.42,TAMPEREEN KAUPUNKI,0211675-2,392742
46,OR1,4305,Asiakaspalvelujen ostot kunnil,3275,Terveysneuvonta 2010 -,2018-08-13 00:00:00,20218994,156,HELSINGIN KAUPUNKI,0201256-6,386387
47,OR1,4305,Asiakaspalvelujen ostot kunnil,3275,Terveysneuvonta 2010 -,2018-08-24 00:00:00,20219882,76.17,TAMPEREEN KAUPUNKI,0211675-2,388533
48,OR1,4305,Asiakaspalvelujen ostot kunnil,3275,Terveysneuvonta 2010 -,2018-08-30 00:00:00,20220336,151.06,TAMPEREEN KAUPUNKI,0211675-2,389412
49,OR1,4305,Asiakaspalvelujen ostot kunnil,3275,Terveysneuvonta 2010 -,2018-08-31 00:00:00,20221431,48,PORIN KAUPUNKI,0137323-9,392917
50,OR1,4305,Asiakaspalvelujen ostot kunnil,3815,Muu erikoissairaanhoito,2018-08-01 00:00:00,20219276,392,TAMPEREEN KAUPUNKI,0211675-2,386924
51,OR1,4305,Asiakaspalvelujen ostot kunnil,3815,Muu erikoissairaanhoito,2018-08-01 00:00:00,20219446,48.8,KANGASALAN KAUPUNKI,1923299-5,387474
52,OR1,4305,Asiakaspalvelujen ostot kunnil,3815,Muu erikoissairaanhoito,2018-08-17 00:00:00,20219444,223,JÄMSÄN KAUPUNKI,0175622-1,387313
53,OR1,4305,Asiakaspalvelujen ostot kunnil,3815,Muu erikoissairaanhoito,2018-08-21 00:00:00,20219626,39,JANAKKALAN KUNTA,0147510-4,387852
54,OR1,4305,Asiakaspalvelujen ostot kunnil,3815,Muu erikoissairaanhoito,2018-08-24 00:00:00,20219711,26,JANAKKALAN KUNTA,0147510-4,388436
55,OR1,4305,Asiakaspalvelujen ostot kunnil,3815,Muu erikoissairaanhoito,2018-08-31 00:00:00,20220536,443.38,TAMPEREEN KAUPUNKI,0211675-2,389583
56,OR1,4305,Asiakaspalvelujen ostot kunnil,3815,Muu erikoissairaanhoito,2018-08-31 00:00:00,20221970,41.33,KANGASALAN KAUPUNKI,1923299-5,393905
57,OR1,4305,Asiakaspalvelujen ostot kunnil,4305,Perusopetuksen yhteistoiminnot,2018-08-17 00:00:00,20219357,27688.65,TAMPEREEN KAUPUNKI,0211675-2,387307
58,OR1,4305,Asiakaspalvelujen ostot kunnil,4305,Perusopetuksen yhteistoiminnot,2018-08-21 00:00:00,20219424,-27688.65,TAMPEREEN KAUPUNKI,0211675-2,387864
59,OR1,4305,Asiakaspalvelujen ostot kunnil,4305,Perusopetuksen yhteistoiminnot,2018-08-21 00:00:00,20219425,25003.69,TAMPEREEN KAUPUNKI,0211675-2,387865
60,OR1,4305,Asiakaspalvelujen ostot kunnil,4305,Perusopetuksen yhteistoiminnot,2018-08-30 00:00:00,20220330,74.34,IKAALISTEN KAUPUNKI,0203797-4,389274
61,OR1,4305,Asiakaspalvelujen ostot kunnil,4305,Perusopetuksen yhteistoiminnot,2018-08-30 00:00:00,20220333,90,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,389373
62,OR1,4305,Asiakaspalvelujen ostot kunnil,4801,Perusopetuksen psykologipalv.,2018-08-31 00:00:00,20221256,48.5,KESKI-SATAKUNNAN TH KY,0203738-4,389584
63,OR1,4305,Asiakaspalvelujen ostot kunnil,4802,Perusopetuksen kuraattoripalv.,2018-08-31 00:00:00,20221594,552.5,PÄLKÄNEEN KUNTA,2050961-3,389761
64,OR1,4305,Asiakaspalvelujen ostot kunnil,4803,Lukion ja amm.k. psyk.palv.,2018-08-10 00:00:00,20219026,74.6,TAMPEREEN KAUPUNKI,0211675-2,386147
65,OR1,4305,Asiakaspalvelujen ostot kunnil,4803,Lukion ja amm.k. psyk.palv.,2018-08-10 00:00:00,20219026,93.18,TAMPEREEN KAUPUNKI,0211675-2,386147
66,OR1,4305,Asiakaspalvelujen ostot kunnil,4804,Lukion ja amm.k. kuraatt.palv.,2018-08-15 00:00:00,20219038,-31.06,TAMPEREEN KAUPUNKI,0211675-2,386785
67,OR1,4305,Asiakaspalvelujen ostot kunnil,4804,Lukion ja amm.k. kuraatt.palv.,2018-08-24 00:00:00,20220014,45,FORSSAN SEUDUN HYVINVOINTIKY,0214295-0,388558
68,OR1,4305,Asiakaspalvelujen ostot kunnil,4804,Lukion ja amm.k. kuraatt.palv.,2018-08-27 00:00:00,20220019,90,HÄMEENLINNAN KAUPUNKI / LASTEN JA,0146921-4,388808
69,OR1,4305,Asiakaspalvelujen ostot kunnil,4804,Lukion ja amm.k. kuraatt.palv.,2018-08-31 00:00:00,20222016,142.26,ASIKKALAN KUNTA,0145208-4,392221
70,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-01 00:00:00,20213949,29160,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,375165
71,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-01 00:00:00,20213953,29160,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,375169
72,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-01 00:00:00,20219370,132,ETELÄ-KARJALAN SOSIAALI-JA TERVEYS-,0725937-3,387468
73,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-07 00:00:00,20218219,90,POHJOIS-POHJANMAAN SHP:N KUNTAYHTYM,0679480-9,385338
74,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-10 00:00:00,20218607,46,YLÄ-SAVON SOTE KUNTAYHTYMÄ,2265875-1,386278
75,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-10 00:00:00,20218992,104,KESKI-POHJANMAAN SOSIAALI- JA TERVE,0216462-3,386271
76,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-20 00:00:00,20219385,181,SOTE KUNTYHTYMÄ/SAARIKKA,0208521-2,387617
77,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-20 00:00:00,20219610,46,KUUSIOKUNTIEN TERVEYSKUNTAYHTYMÄ,1983230-9,387613
78,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-20 00:00:00,20219698,87.6,KAINUUN SOTE,2496986-0,387612
79,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-23 00:00:00,20219658,50,PERUSTURVAKUNTAYHTYMÄ KARVIAINEN,2187280-1,388300
80,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-29 00:00:00,20220328,73.8,SUUPOHJAN PERUSPALVELULIIKELAITOS-,2204227-9,389081
81,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-30 00:00:00,20221504,210,POHJOIS-SATAKUNNAN PERUSPALVELU-LII,2205488-6,389239
82,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20220393,147,RAAHEN SEUDUN HYVINVOINTI KY,0210286-0,390274
83,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20220996,92,PÄIJÄT-HÄMEEN HYVINVOINTIKUNTAYHTYM,0215606-8,389733
84,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20221040,311,ETELÄ-KARJALAN SOSIAALI-JA TERVEYS-,0725937-3,391451
85,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20221086,155.86,RIIHIMÄEN SEUDUN TERV.KESK.KY,0205809-7,392239
86,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20221313,61.86,YLÄ-SAVON SOTE KUNTAYHTYMÄ,2265875-1,392435
87,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20221318,215,POHJOIS-SAVON SAIRAANHOITOPIIRIN KY,0171495-3,392477
88,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20221338,196.95,HELSINGIN JA UUDENMAAN SAIRAANHOITO,1567535-0,392692
89,OR1,4310,Asiakaspalvelujen ostot kuntay,3015,Avosairaanhoito,2018-08-31 00:00:00,20221339,156.55,HELSINGIN JA UUDENMAAN SAIRAANHOITO,1567535-0,392693
90,OR1,4310,Asiakaspalvelujen ostot kuntay,3055,Hammashuolto,2018-08-20 00:00:00,20219401,105,ETELÄ-KARJALAN SOSIAALI-JA TERVEYS-,0725937-3,387742
91,OR1,4310,Asiakaspalvelujen ostot kuntay,3055,Hammashuolto,2018-08-31 00:00:00,20220996,114,PÄIJÄT-HÄMEEN HYVINVOINTIKUNTAYHTYM,0215606-8,389733
92,OR1,4310,Asiakaspalvelujen ostot kuntay,3085,Terveyskeskussairaala,2018-08-29 00:00:00,20220976,2834.36,AKAAN KAUPUNKI,2050864-5,389042
93,OR1,4310,Asiakaspalvelujen ostot kuntay,3085,Terveyskeskussairaala,2018-08-31 00:00:00,20222009,1332,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,391071
94,OR1,4310,Asiakaspalvelujen ostot kuntay,3089,Muistikeskus,2018-08-31 00:00:00,20222009,1659.8,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,391071
95,OR1,4310,Asiakaspalvelujen ostot kuntay,3267,Lastensuojelu2017-,2018-08-27 00:00:00,20219959,35.3,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,388758
96,OR1,4310,Asiakaspalvelujen ostot kuntay,3275,Terveysneuvonta 2010 -,2018-08-31 00:00:00,20220996,144,PÄIJÄT-HÄMEEN HYVINVOINTIKUNTAYHTYM,0215606-8,389733
97,OR1,4310,Asiakaspalvelujen ostot kuntay,3286,Asumispalvelut,2018-08-01 00:00:00,20221100,5090.72,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,385799
98,OR1,4310,Asiakaspalvelujen ostot kuntay,3287,Omaishoito,2018-08-01 00:00:00,20221100,1643.28,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,385799
99,OR1,4310,Asiakaspalvelujen ostot kuntay,3288,Vammaispalvelut ja tukitoimet,2018-08-01 00:00:00,20221100,552,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,385799
100,OR1,4310,Asiakaspalvelujen ostot kuntay,3806,Pirkanmaan sairaanhoitop.ky,2018-08-01 00:00:00,20213948,31785,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,375164
101,OR1,4310,Asiakaspalvelujen ostot kuntay,3806,Pirkanmaan sairaanhoitop.ky,2018-08-01 00:00:00,20213950,31785,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,375166
102,OR1,4310,Asiakaspalvelujen ostot kuntay,3806,Pirkanmaan sairaanhoitop.ky,2018-08-01 00:00:00,20213954,963045,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,375170
103,OR1,4310,Asiakaspalvelujen ostot kuntay,3806,Pirkanmaan sairaanhoitop.ky,2018-08-16 00:00:00,20213952,963045,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,375168
104,OR1,4310,Asiakaspalvelujen ostot kuntay,3815,Muu erikoissairaanhoito,2018-08-31 00:00:00,20220544,595,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,390490
105,OR1,4310,Asiakaspalvelujen ostot kuntay,3815,Muu erikoissairaanhoito,2018-08-31 00:00:00,20221389,341,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,392679
106,OR1,4310,Asiakaspalvelujen ostot kuntay,3815,Muu erikoissairaanhoito,2018-08-31 00:00:00,20222009,1454,PIRKANMAAN SAIRAANHOITOPIIRIN KY,0826597-8,391071
107,OR1,4315,Asiakaspalvelujen ostot muilta,3015,Avosairaanhoito,2018-08-06 00:00:00,20218187,1549.45,PIHLAJALINNA LÄÄKÄRIKESKUKSET OY,0107418-3,385197
108,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-01 00:00:00,20217853,2933.45,MIELENRUOKAA OY,2080352-1,383611
109,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-01 00:00:00,20219447,931,VALMENNUSKESKUS NEPPARI,2684991-8,387476
110,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-01 00:00:00,20219448,285,VALMENNUSKESKUS NEPPARI,2684991-8,387477
111,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-03 00:00:00,20218076,26831.8,ASPA PALVELUT OY,1998395-9,384348
112,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-03 00:00:00,20218087,4594.2,SOPIMUSVUORI OY,2159098-6,384483
113,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-07 00:00:00,20218501,591.09,SOPIMUSVUORI RY,0155524-3,385335
114,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-08 00:00:00,20218545,684,NUORISOTYÖ JESSICA RANTANEN TMI,2859668-6/6,385589
115,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-10 00:00:00,20218601,574.84,MUOTIALAN ASUIN- JA TOIMINTAKESKUS,0943814-8,386129
116,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-10 00:00:00,20218922,30,VIREÄOKSA,2251243-7,386277
117,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-24 00:00:00,20219716,684,NUORISOTYÖ JESSICA RANTANEN TMI,2859668-6/6,388532
118,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220355,4594.2,SOPIMUSVUORI OY,2159098-6,389782
119,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220365,3361.42,ATTENDO MENTAL OY,1944573-9,389832
120,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220366,9951.74,ATTENDO OY,1755463-2,389833
121,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220367,4949.96,ATTENDO MENTAL OY,1944573-9,389834
122,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220368,3317.25,ATTENDO OY,1755463-2,389835
123,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220369,3361.42,ATTENDO OY,1755463-2,389836
124,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220370,2396.7,ATTENDO OY,1755463-2,389837
125,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220522,684,ASPA PALVELUT OY,1998395-9,390956
126,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220531,231.8,HÄMEENLINNAN SEUDUN TYÖVALMENNUSSÄÄ,1881647-0,391049
127,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20220843,494,SUOMEN NUORTENTALO,2076873-8,391684
128,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221205,60,PSYKOTERAPIAPALVELU KATRIINA TOIMI-,2639649-6 /,391970
129,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221206,3543.59,SEVINIO OY,1089921-6,392054
130,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221238,760,MUOTIALAN ASUIN- JA TOIMINTAKESKUS,0943814-8,392229
131,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221239,980.4,SOPIMUSVUORI RY,0155524-3,392238
132,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221315,7734.16,METSOMÄEN KODIT OY,1619967-5,392467
133,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221330,1472.5,MUOTIALAN ASUIN- JA TOIMINTAKESKUS,0943814-8,392657
134,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221331,16394.62,ASPA PALVELUT OY,1998395-9,392659
135,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221332,29267.6,ASPA PALVELUT OY,1998395-9,392660
136,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221333,15288.08,MIELENRUOKAA OY,2080352-1,392663
137,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221334,2599.66,MIELENRUOKAA OY,2080352-1,392664
138,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221494,4902,MUOTIALAN ASUIN- JA TOIMINTAKESKUS,0943814-8,393093
139,OR1,4315,Asiakaspalvelujen ostot muilta,3020,Mielenterveystoimisto,2018-08-31 00:00:00,20221789,3545.78,HOIVA MEHILÄINEN OY,1893659-5,393899
140,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-13 00:00:00,20219075,4180,A-KLINIKKA OY,2782671-8,386343
141,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-17 00:00:00,20219258,789.73,A-KLINIKKA OY,2782671-8,387512
142,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-17 00:00:00,20219259,1161.37,A-KLINIKKA OY,2782671-8,387513
143,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-17 00:00:00,20219260,1393.65,A-KLINIKKA OY,2782671-8,387514
144,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-17 00:00:00,20219261,1393.65,A-KLINIKKA OY,2782671-8,387515
145,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-17 00:00:00,20219262,581.4,MARJALINNA OY/ESPERI,1033587-5,387516
146,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-17 00:00:00,20219263,376.2,MARJALINNA OY/ESPERI,1033587-5,387517
147,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-24 00:00:00,20219719,6583.5,LAPIN ENSI- JA TURVAKOTI RY,0210570-3,388559
148,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-31 00:00:00,20220389,1236.9,TERISKOTISÄÄTIÖ,0992992-4,390249
149,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-31 00:00:00,20220518,1677.22,ABNOY OY,27738179,390934
150,OR1,4315,Asiakaspalvelujen ostot muilta,3040,A-klinikka,2018-08-31 00:00:00,20221322,4180,A-KLINIKKA OY,2782671-8,392630
