,code,name,city_or_mun,language,mun_center,province,subregion,population,area_total_km2,area_land_km2,population_density_km-2
91,249,Keuruu,kaupunki,suomi,Keuruun keskustaajama,Keski-Suomi,Keuruun seutukunta,9343,1430.56,1257.97,74.0
92,250,Kihniö,kunta,suomi,Kihniön kirkonkylä,Pirkanmaa,Luoteis-Pirkanmaan seutukunta,1812,39050.0,35722.0,51.0
93,256,Kinnula,kunta,suomi,Kinnulan kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,1570,49573.0,46020.0,34.0
94,257,Kirkkonummi,kunta,"suomi, ruotsi",Kirkkonummen keskusta,Uusimaa,Helsingin seutukunta,40654,39354.0,36623.0,111.0
95,260,Kitee,kaupunki,suomi,Kiteen keskustaajama,Pohjois-Karjala,Keski-Karjalan seutukunta,9853,1724.38,1253.82,79.0
96,261,Kittilä,kunta,suomi,Kittilän kirkonkylä,Lappi,Tunturi-Lapin seutukunta,6554,8263.15,8095.28,8.0
97,263,Kiuruvesi,kaupunki,suomi,Kiuruveden keskustaajama,Pohjois-Savo,Ylä-Savon seutukunta,7718,1422.9,1328.17,58.0
98,265,Kivijärvi,kunta,suomi,Kivijärven kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,1078,59988.0,48396.0,22.0
99,271,Kokemäki,kaupunki,suomi,Tulkkila,Satakunta,Porin seutukunta,6939,53126.0,48041.0,144.0
100,272,Kokkola,kaupunki,"suomi, ruotsi",Kokkolan keskustaajama,Keski-Pohjanmaa,Kokkolan seutukunta,48055,1492.45,1445.96,332.0
101,273,Kolari,kunta,suomi,Kolarin kirkonkylä,Lappi,Tunturi-Lapin seutukunta,3955,2617.74,2559.29,15.0
102,275,Konnevesi,kunta,suomi,Konneveden kirkonkylä,Keski-Suomi,Äänekosken seutukunta,2573,68085.0,51294.0,5.0
103,276,Kontiolahti,kunta,suomi,Kontiolahden kirkonkylä,Pohjois-Karjala,Joensuun seutukunta,15123,1029.82,79964.0,189.0
104,280,Korsnäs,kunta,"ruotsi, suomi",Korsnäsin kirkonkylä,Pohjanmaa,Vaasan seutukunta,2043,23980.0,23603.0,87.0
105,284,Koski Tl,kunta,suomi,Kosken Tl kirkonkylä,Varsinais-Suomi,Loimaan seutukunta,2253,19242.0,19150.0,118.0
106,285,Kotka,kaupunki,suomi,Kotkan keskustaajama,Kymenlaakso,Kotka–Haminan seutukunta,50891,27777.0,27195.0,1871.0
107,286,Kouvola,kaupunki,suomi,Kouvolan keskustaajama,Kymenlaakso,Kouvolan seutukunta,80010,2883.29,2557.7,313.0
108,287,Kristiinankaupunki,kaupunki,"ruotsi, suomi",Kristiinankaupungin keskustaajama,Pohjanmaa,Suupohjan rannikkoseutu,6325,69772.0,68325.0,93.0
109,288,Kruunupyy,kunta,"ruotsi, suomi",Kruunupyyn kirkonkylä,Pohjanmaa,Jakobstadsregionen,6436,75269.0,71287.0,9.0
110,290,Kuhmo,kaupunki,suomi,Kuhmon keskustaajama,Kainuu,Kehys-Kainuun seutukunta,7852,5456.87,4806.45,16.0
111,291,Kuhmoinen,kunta,suomi,Kuhmoisten kirkonkylä,Pirkanmaa,Tampereen seutukunta,2140,93669.0,66094.0,32.0
112,295,Kumlinge,kunta,ruotsi,Kumlinge,Ahvenanmaa,Ålands skärgård,307,9944.0,9907.0,31.0
113,297,Kuopio,kaupunki,suomi,Kuopion keskustaajama,Pohjois-Savo,Kuopion seutukunta,121383,4326.35,3241.05,375.0
114,300,Kuortane,kunta,suomi,Kuortaneen kirkonkylä,Etelä-Pohjanmaa,Kuusiokuntien seutukunta,3486,48485.0,46237.0,75.0
115,301,Kurikka,kaupunki,suomi,Kurikan keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta,20035,1743.91,1724.63,116.0
116,304,Kustavi,kunta,suomi,Kustavin kirkonkylä,Varsinais-Suomi,Vakka-Suomen seutukunta,965,16767.0,16584.0,58.0
117,305,Kuusamo,kaupunki,suomi,Kuusamon keskustaajama,Pohjois-Pohjanmaa,Koillismaan seutukunta,15128,5808.98,4978.57,3.0
118,312,Kyyjärvi,kunta,suomi,Kyyjärven kirkonkylä,Keski-Suomi,Saarijärven–Viitasaaren seutukunta,1219,46961.0,44818.0,27.0
119,316,Kärkölä,kunta,suomi,Järvelä,Päijät-Häme,Lahden seutukunta,4242,25930.0,25650.0,165.0
120,317,Kärsämäki,kunta,suomi,Kärsämäen kirkonkylä,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,2506,70142.0,69650.0,36.0
121,318,Kökar,kunta,ruotsi,Karlby,Ahvenanmaa,Ålands skärgård,225,6394.0,6357.0,35.0
122,398,Lahti,kaupunki,suomi,Lahden keskustaajama,Päijät-Häme,Lahden seutukunta,120050,51763.0,45949.0,2613.0
123,399,Laihia,kunta,suomi,Laihian kirkonkylä,Pohjanmaa,Vaasan seutukunta,7910,50844.0,50515.0,157.0
124,400,Laitila,kaupunki,suomi,Laitilan keskustaajama,Varsinais-Suomi,Vakka-Suomen seutukunta,8500,54533.0,53187.0,16.0
125,407,Lapinjärvi,kunta,"suomi, ruotsi",Lapinjärven kirkonkylä,Uusimaa,Loviisan seutukunta,2550,33931.0,32989.0,77.0
126,402,Lapinlahti,kunta,suomi,Lapinlahden kirkonkylä,Pohjois-Savo,Ylä-Savon seutukunta,9195,1245.16,1096.7,84.0
127,403,Lappajärvi,kunta,suomi,Lappajärven kirkonkylä,Etelä-Pohjanmaa,Järviseudun seutukunta,2860,52373.0,42089.0,68.0
128,405,Lappeenranta,kaupunki,suomi,Lappeenrannan keskustaajama,Etelä-Karjala,Lappeenrannan seutukunta,72231,1723.57,1433.97,504.0
129,408,Lapua,kaupunki,suomi,Lapuan keskustaajama,Etelä-Pohjanmaa,Seinäjoen seutukunta,14259,75078.0,73716.0,193.0
130,410,Laukaa,kunta,suomi,Laukaan kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,18843,82560.0,64851.0,291.0
131,416,Lemi,kunta,suomi,Lemin kirkonkylä,Etelä-Karjala,Lappeenrannan seutukunta,2914,26248.0,21796.0,134.0
132,417,Lemland,kunta,ruotsi,Söderby,Ahvenanmaa,Ålands landsbygd,2140,11410.0,11322.0,189.0
133,418,Lempäälä,kunta,suomi,Lempäälän kirkonkylä,Pirkanmaa,Tampereen seutukunta,24453,30706.0,26958.0,907.0
134,420,Leppävirta,kunta,suomi,Leppävirran kirkonkylä,Pohjois-Savo,Varkauden seutukunta,9267,1519.64,1135.99,82.0
135,421,Lestijärvi,kunta,suomi,Lestijärven kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,717,55885.0,48002.0,15.0
136,422,Lieksa,kaupunki,suomi,Lieksan keskustaajama,Pohjois-Karjala,Pielisen Karjalan seutukunta,10471,4067.7,3417.86,31.0
137,423,Lieto,kaupunki,suomi,Liedon kirkonkylä,Varsinais-Suomi,Turun seutukunta,20415,30256.0,30054.0,679.0
138,425,Liminka,kunta,suomi,Limingan kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,10264,64263.0,63727.0,161.0
139,426,Liperi,kunta,suomi,Liperin kirkonkylä,Pohjois-Karjala,Joensuun seutukunta,11978,1161.23,72720.0,165.0
140,444,Lohja,kaupunki,"suomi, ruotsi",Lohjan keskustaajama,Uusimaa,Helsingin seutukunta,46020,1109.73,93944.0,49.0
141,430,Loimaa,kaupunki,suomi,Loimaan keskustaajama,Varsinais-Suomi,Loimaan seutukunta,15517,85185.0,84806.0,183.0
142,433,Loppi,kunta,suomi,Lopen kirkonkylä,Kanta-Häme,Riihimäen seutukunta,7815,65597.0,59769.0,131.0
143,434,Loviisa,kaupunki,"suomi, ruotsi",Loviisan keskustaajama,Uusimaa,Loviisan seutukunta,14680,84564.0,81981.0,179.0
144,435,Luhanka,kunta,suomi,Luhangan kirkonkylä,Keski-Suomi,Joutsan seutukunta,694,31328.0,21451.0,32.0
145,436,Lumijoki,kunta,suomi,Lumijoen kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,2033,21436.0,21412.0,95.0
146,438,Lumparland,kunta,ruotsi,Klemetsby,Ahvenanmaa,Ålands landsbygd,371,3639.0,3635.0,102.0
147,440,Luoto,kunta,"ruotsi, suomi",Holm,Pohjanmaa,Jakobstadsregionen,5696,17654.0,14245.0,40.0
148,441,Luumäki,kunta,suomi,Taavetti,Etelä-Karjala,Lappeenrannan seutukunta,4448,85983.0,75009.0,59.0
149,475,Maalahti,kunta,"ruotsi, suomi",Maalahden kirkonkylä,Pohjanmaa,Vaasan seutukunta,5493,52583.0,52175.0,105.0
150,478,Maarianhamina,kaupunki,ruotsi,Maarianhaminan keskustaajama,Ahvenanmaa,Mariehamns stad,11776,1181.0,1181.0,9971.0
151,480,Marttila,kunta,suomi,Marttilan kirkonkylä,Varsinais-Suomi,Loimaan seutukunta,1967,19599.0,19531.0,101.0
152,481,Masku,kunta,suomi,Maskun kirkonkylä,Varsinais-Suomi,Turun seutukunta,9656,17600.0,17489.0,552.0
153,483,Merijärvi,kunta,suomi,Merijärven kirkonkylä,Pohjois-Pohjanmaa,Ylivieskan seutukunta,1070,23163.0,22997.0,47.0
154,484,Merikarvia,kunta,suomi,Merikarvian kirkonkylä,Satakunta,Porin seutukunta,3033,45074.0,44616.0,68.0
155,489,Miehikkälä,kunta,suomi,Miehikkälän kirkonkylä,Kymenlaakso,Kotka–Haminan seutukunta,1819,44037.0,42251.0,43.0
156,491,Mikkeli,kaupunki,suomi,Mikkelin keskustaajama,Etelä-Savo,Mikkelin seutukunta,52077,3229.57,2548.18,204.0
157,494,Muhos,kunta,suomi,Muhoksen kirkonkylä,Pohjois-Pohjanmaa,Oulun seutukunta,8906,79810.0,78458.0,114.0
158,495,Multia,kunta,suomi,Multian kirkonkylä,Keski-Suomi,Keuruun seutukunta,1483,76563.0,73324.0,2.0
159,498,Muonio,kunta,suomi,Muonion kirkonkylä,Lappi,Tunturi-Lapin seutukunta,2309,2037.78,1904.05,12.0
160,499,Mustasaari,kunta,"ruotsi, suomi",Sepänkylä,Pohjanmaa,Vaasan seutukunta,19615,86656.0,84917.0,231.0
161,500,Muurame,kunta,suomi,Muuramen kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,10427,19406.0,14406.0,724.0
162,503,Mynämäki,kunta,suomi,Mynämäen kirkonkylä,Varsinais-Suomi,Turun seutukunta,7603,52232.0,51982.0,146.0
163,504,Myrskylä,kunta,"suomi, ruotsi",Myrskylän kirkonkylä,Uusimaa,Porvoon seutukunta,1805,20635.0,20044.0,9.0
164,505,Mäntsälä,kunta,suomi,Mäntsälän kirkonkylä,Uusimaa,Helsingin seutukunta,21036,59611.0,58085.0,362.0
165,508,Mänttä-Vilppula,kaupunki,suomi,Mäntän keskustaajama,Pirkanmaa,Ylä-Pirkanmaan seutukunta,9490,65709.0,53484.0,177.0
166,507,Mäntyharju,kunta,suomi,Mäntyharjun asemanseutu,Etelä-Savo,Mikkelin seutukunta,5625,1210.98,98121.0,57.0
167,529,Naantali,kaupunki,suomi,Naantalin keskustaajama,Varsinais-Suomi,Turun seutukunta,19613,31643.0,31257.0,627.0
168,531,Nakkila,kunta,suomi,Nakkilan kirkonkylä,Satakunta,Porin seutukunta,5138,18488.0,18293.0,281.0
169,535,Nivala,kaupunki,suomi,Nivalan keskustaajama,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta,10423,53624.0,52718.0,198.0
170,536,Nokia,kaupunki,suomi,Nokian keskustaajama,Pirkanmaa,Tampereen seutukunta,35176,34784.0,28831.0,122.0
171,538,Nousiainen,kunta,suomi,Nummi,Varsinais-Suomi,Turun seutukunta,4679,19949.0,19893.0,235.0
172,541,Nurmes,kaupunki,suomi,Nurmeksen keskustaajama,Pohjois-Karjala,Pielisen Karjalan seutukunta,9640,2692.85,2401.36,39.0
173,543,Nurmijärvi,kunta,suomi,Nurmijärven kirkonkylä,Uusimaa,Helsingin seutukunta,44358,36726.0,36190.0,1226.0
174,545,Närpiö,kaupunki,"ruotsi, suomi",Närpiön keskustaajama,Pohjanmaa,Suupohjan rannikkoseutu,9597,98548.0,97782.0,98.0
175,560,Orimattila,kaupunki,suomi,Orimattilan keskustaajama,Päijät-Häme,Lahden seutukunta,15774,81401.0,78526.0,201.0
176,561,Oripää,kunta,suomi,Oripään kirkonkylä,Varsinais-Suomi,Loimaan seutukunta,1341,11783.0,11775.0,114.0
177,562,Orivesi,kaupunki,suomi,Oriveden keskustaajama,Pirkanmaa,Tampereen seutukunta,8980,96008.0,79963.0,112.0
178,563,Oulainen,kaupunki,suomi,Oulaisten keskustaajama,Pohjois-Pohjanmaa,Ylivieskan seutukunta,7079,59754.0,58784.0,12.0
179,564,Oulu,kaupunki,suomi,Oulun keskustaajama,Pohjois-Pohjanmaa,Oulun seutukunta,209934,3052.77,2972.45,706.0
180,309,Outokumpu,kaupunki,suomi,Outokummun keskustaajama,Pohjois-Karjala,Joensuun seutukunta,6525,58406.0,44586.0,146.0
181,576,Padasjoki,kunta,suomi,Padasjoen kirkonkylä,Päijät-Häme,Lahden seutukunta,2784,72981.0,52309.0,53.0
182,577,Paimio,kaupunki,suomi,Vista,Varsinais-Suomi,Turun seutukunta,11127,24004.0,23851.0,467.0
183,578,Paltamo,kunta,suomi,Paltamon kirkonkylä,Kainuu,Kajaanin seutukunta,3139,1139.74,91879.0,34.0
184,445,Parainen,kaupunki,"ruotsi, suomi",Paraisten keskustaajama,Varsinais-Suomi,Turunmaan seutukunta,15096,89390.0,88404.0,171.0
185,580,Parikkala,kunta,suomi,Parikkalan kirkonkylä,Etelä-Karjala,Imatran seutukunta,4541,76071.0,59191.0,77.0
186,581,Parkano,kaupunki,suomi,Parkanon keskustaajama,Pirkanmaa,Luoteis-Pirkanmaan seutukunta,6274,90957.0,85319.0,74.0
187,599,Pedersören kunta,kunta,"ruotsi, suomi",Pännäinen,Pohjanmaa,Jakobstadsregionen,11167,82605.0,79426.0,141.0
188,583,Pelkosenniemi,kunta,suomi,Pelkosenniemen kirkonkylä,Lappi,Itä-Lapin seutukunta,931,1881.82,1836.4,5.0
189,854,Pello,kunta,suomi,Pellon kirkonkylä,Lappi,Torniolaakson seutukunta,3265,1863.72,1737.73,19.0
190,584,Perho,kunta,suomi,Perhon kirkonkylä,Keski-Pohjanmaa,Kaustisen seutukunta,2676,77519.0,74787.0,36.0
191,588,Pertunmaa,kunta,suomi,Pertunmaan kirkonkylä,Etelä-Savo,Mikkelin seutukunta,1624,45418.0,37443.0,43.0
192,592,Petäjävesi,kunta,suomi,Petäjäveden kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,3676,49541.0,45642.0,81.0
